area,old_system,current_system,status,severity,evidence
RC telemetry,"Direct pymavlink REQUEST_DATA_STREAM_ALL at 10 Hz plus POSITION_TARGET_LOCAL_NED at 5 Hz","No equivalent request in project ROS 2 nodes; current /mavros/rc/in is nevertheless 5.0 Hz",PARTIAL,P1,"old ov9281_follow_props_off_test.py:313-335; live ROS rate"
Target echo,"Explicit POSITION_TARGET_LOCAL_NED interval request and 0.03 m/s comparison","Subscriber exists with compatible QoS; no echo received; 0.05 m/s comparison; FOLLOW_CONFIRMED count 0",MISSING_RUNTIME,P0,"guided_executor live status and topic graph"
Follow authorization,"CH7; low-at-start cycle required","CH6; stateless high authorization",INTENTIONAL_CHANGE,P1,"old control JSON; guided_execution.py"
Entry readiness,"Armed, permitted mode, EKF relative position, origin, range 0.5-1.5 m, flow quality >=80, attitude and telemetry gates","Connected MAVROS, fresh owner/candidate, allowed mode and CH6 only",NOT_PORTED,P0,"old control JSON and old runtime versus guided_executor.py"
Pilot takeover,"RC1/RC2/RC4 stick override with debounce","No pilot-stick override gate in current executor",NOT_PORTED,P0,"old control JSON; no equivalent current parameter/code"
Follow speed,"0.10 m/s maximum with 0.15 m/s^2 acceleration limiter","IBVS maximum 0.25 m/s; no temporal acceleration limiter",BEHAVIOR_CHANGE,P1,"old control JSON; moving_landing.prototype.json; hybrid_guidance.py"
Candidate freshness,"Vision target timeout 0.25 s plus tracker prediction/hold policy","Owner 0.5 s and candidate 0.4 s",BEHAVIOR_CHANGE,P1,"old control JSON; current ROS config"
Mode ACK,"Direct SET_MODE with heartbeat confirmation and restore-entry-mode manager","MAVROS service ACK plus heartbeat ACK and rollback manager",REPLACED_EQUIVALENT,INFO,"current unit tests and guided_execution.py"
Mode cleanup,"Confirmed sessions restore their entry mode on exit","Rollback exists but latest test ended phase IDLE/current GUIDED/owner HOLD/no setpoint",RUNTIME_FAILURE,P0,"live guided_executor status after Log 41"
Tag detection tone,"Old readiness C depended on flight prerequisites","C now means accepted Tag plus MAVROS connection; re-arms after Tag loss",INTENTIONAL_CHANGE,INFO,"2026-08-21 tone requirement and logs"
GUIDED tone,"No separate periodic GUIDED_ACTIVE event","GUIDED_ACTIVE single C about every 2 seconds",INTENTIONAL_CHANGE,INFO,"current policy and journal"
Follow confirmation,"C-E-G after command echo matched","Code remains but has never triggered in deployed image",BLOCKED,P0,"tone_event_counts FOLLOW_CONFIRMED=0"
Exit confirmation,"G-E-C after a previously confirmed follow exits","Cannot trigger until FOLLOW_CONFIRMED has first occurred",BLOCKED,P1,"current tone policy"
AprilTag target,"Single 100 mm outer Tag primary; later dual list present","100 mm ID0 plus 20 mm ID1 with per-Tag gates and hysteresis",INTENTIONAL_EXTENSION,INFO,"vision service arguments and config"
Camera intrinsics,"OV9281 fisheye calibration","Same intrinsic calibration file and hash",CONSISTENT,INFO,"SHA-256 c17d7af3..."
Camera extrinsics,"Translation assumed zero/centered","Still zero/centered although current camera is physically off-center",UNCALIBRATED,P0,"moving_landing.prototype.json and operator report"
Distance correction,"Previous-aircraft one-point 0.655 m outer and 0.0425 m inner corrections","QAV280 one-point 0.602 m correction for both Tags; flight_use_approved=false",PARTIAL,P1,"active range correction JSON"
Landing target,"Not part of old follow command; land_command=false","ROS 2 LANDING_TARGET output enabled and observed by AC_PrecLand",INTENTIONAL_EXTENSION,INFO,"PLND parameters and DataFlash Target Found"
SwD landing,"Absent","CH8 low-to-high after active GUIDED follow requests LAND; low resumes GUIDED",INTENTIONAL_EXTENSION,INFO,"guided_executor and bench tests"
Elastic integration,"Absent","Adapter launched, but simple coordinator does not subscribe to Elastic candidate",NOT_IN_ACTIVE_PATH,P0,"adapters.launch.py and simple_landing_coordinator.py"
Moving pad estimator,"Old alpha-beta visual tracker only","Pure Python estimator exists and tests pass, but no ROS 2 node/entry point is launched",NOT_IN_ACTIVE_PATH,P0,"setup.py and launch file"
Moving landing supervisor,"Absent","Pure Python supervisor exists and tests pass, but active service uses simplified coordinator",NOT_IN_ACTIVE_PATH,P0,"setup.py and launch file"
Battery safety,"Old readiness threshold existed but telemetry requirement was disabled","BATT_MONITOR=0 and no current executor battery gate",UNRESOLVED,P0,"current Log 41 parameters and executor code"
Service startup,"Old dedicated test program/service","Vision, MAVROS and ROS 2 landing services enabled at boot",INTENTIONAL_CHANGE,INFO,"systemd live state"
Software deployment,"Single script on Pi","Container image matches local source hashes for all active ROS 2 nodes",CONSISTENT,INFO,"SHA-256 comparison"
Preview isolation,"Separate camera processing design","Hardware MJPEG lores plus independent 10 Hz analysis; one browser connection",CONSISTENT_WITH_LOAD_RISK,P1,"vision code and live metrics"
